scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
50;0.00212001800537;3;0.00101399421692;671;0.000725030899048;119;0.00714111328125;7749;0.634882926941;3;74.3361241817;63;0.0429840087891;189;0.000752925872803;0.0973360538483;3121;3011;110;110;3121;3011;110;110;80.4472;71.0631;80.4472;71.0631;280;177;1086;30;359;223;186;1088;81;308;223;186;1088;81;308;47940;62741;70414;53840;103;37;66;103;37;66;180.00000000006366;49.999999999954525
51;0.000998020172119;91;0.00740003585815;7997;0.000556945800781;48;0.00767087936401;6224;59.9018390179;54;26.7603070736;39;1.12585115433;2106;0.0099241733551;1.76803994179;2476;2449;27;27;2476;2449;27;27;0;23.9946;0;23.9946;185;221;930;17;157;185;221;929;0;149;185;221;929;0;149;65146;51776;62729;28687;36;36;0;36;36;0;230.00000000001819;49.999999999954525
52;0.000931024551392;84;0.0190408229828;17116;0.000561952590942;70;0.0012059211731;667;120.49555707;63;4.00095200539;65;3.42614889145;4095;0.0262022018433;6.95490789413;3521;3468;53;53;3521;3468;53;53;83.2882;45.6594;83.2882;45.6594;181;261;1338;36;287;240;253;1335;0;292;240;253;1335;0;292;42736;49944;13555;49607;80;13;67;80;13;67;309.99999999994543;69.999999999708962
55;0.000865936279297;159;0.00468492507935;3816;0.000542879104614;45;0.0128989219666;12281;48.8594388962;121;50.7245249748;45;4.15764498711;5445;0.0329730510712;6.88199281693;3233;3233;0;0;3233;3233;0;0;57.8432;0;57.8432;92.4823;155;190;1275;66;237;194;194;1271;66;237;194;194;1293;0;259;45858;18753;45192;65814;35;0;35;35;0;35;300.0000000001819;109.99999999967258
56;0.00145602226257;37;0.0069580078125;7361;0.00192904472351;72;0.00871300697327;8843;25.9827320576;7;54.5717000961;17;0.0915818214417;119;0.000745058059692;0.131822109222;4035;3856;179;179;4035;4111;76;-76;162.413;70.9634;0;169.392;298;529;1147;51;632;414;491;1117;0;640;298;529;1149;197;558;55142;36022;3279;63473;231;77;154;231;231;0;300.0000000001819;110.00000000012733
57;0.00131702423096;75;0.00942993164062;9696;0.000627994537354;145;0.00861001014709;8555;61.0782771111;64;98.6905288696;124;3.57720112801;7936;0.0524439811707;11.0847070217;3731;3469;262;262;3731;3513;218;218;417.346;284.204;317.733;284.204;30;462;1192;260;163;375;407;1224;0;207;302;418;1235;0;207;68065;9108;34866;30947;432;32;400;432;116;316;369.99999999989086;90.000000000145519
58;0.00113391876221;90;0.00670886039734;7795;0.00220704078674;66;0.0182287693024;14283;57.5655629635;42;86.5224049091;51;2.00846409798;2142;0.0107100009918;6.59799003601;3783;3636;147;147;3783;3636;147;147;382.944;170.72;382.944;170.72;93;285;1265;154;529;245;238;1311;30;494;245;238;1311;30;494;52161;28155;75451;40698;192;7;185;192;7;185;480.00000000001819;199.9999999998181
60;0.000761032104492;38;0.00249481201172;2646;0.000653982162476;140;0.00679707527161;6897;10.4615190029;34;82.6675779819;72;0.806643009186;2448;0.0159468650818;1.65999007225;4049;3730;319;319;4049;3738;311;311;390.178;223.714;350.932;223.714;6;345;1338;200;483;303;297;1321;30;452;273;302;1326;30;452;32595;24696;71567;17872;339;6;333;339;29;310;269.99999999998181;59.99999999994543
63;0.00078296661377;4;0.0012309551239;473;0.00064492225647;123;0.0110318660736;7650;0.523178815842;4;81.1914079189;78;0.106957912445;312;0.00148797035217;0.169187068939;5319;5317;2;2;5319;5317;2;2;96.3695;3.29442;0;3.29442;233;439;1970;2;499;304;450;1959;0;499;233;439;1970;0;499;53605;18452;52616;36745;206;146;60;206;206;0;280.00000000020009;69.999999999708962
66;0.00129985809326;127;0.00557899475098;5551;0.000602006912231;67;0.007817029953;7346;58.6002259254;89;42.3177821636;55;3.66517591476;4895;0.032637834549;3.97519516945;3660;3586;74;74;3660;3586;74;74;0;207.319;0;207.319;73;64;1464;178;408;73;64;1490;30;430;73;64;1490;30;430;14072;15367;72774;10166;9;9;0;9;9;0;329.99999999992724;90.000000000145519
